antecedents,consequents,support,confidence,lift
"matériel d'irrigation, produit raticide + anti insect, produit insecticide","matériel divers, produit engrai",0.6025641025641025,0.8392857142857143,1.0071428571428571
"produit fongicide, matériel apiculture",produit insecticide,0.6829268292682927,1.0,1.0512820512820513
"matériel d'irrigation, produit fongicide",produit engrai,0.6753246753246753,1.0,1.0266666666666666
"matériel d'irrigation, produit fongicide",produit insecticide,0.6753246753246753,1.0,1.0
"matériel d'irrigation, produit insecticide, produit fongicide",produit engrai,0.6753246753246753,1.0,1.0266666666666666
"matériel d'irrigation, produit insecticide, produit engrai",produit fongicide,0.6753246753246753,0.8813559322033898,1.012901593726284
"matériel d'irrigation, produit fongicide, produit engrai",produit insecticide,0.6753246753246753,1.0,1.0
"matériel d'irrigation, produit fongicide","produit insecticide, produit engrai",0.6753246753246753,1.0,1.0266666666666666
matériel d'irrigation,produit engrai,0.6933333333333334,0.8813559322033899,1.016949152542373
"matériel d'irrigation, matériel divers",produit engrai,0.6266666666666667,0.8867924528301887,1.02322206095791
"matériel d'irrigation, produit engrai",matériel divers,0.6266666666666667,0.9038461538461539,1.027097902097902
"matériel d'irrigation, produit insecticide",matériel divers,0.6933333333333334,0.896551724137931,1.0188087774294672
"matériel d'irrigation, matériel divers",produit insecticide,0.6933333333333334,0.9811320754716981,1.0080124063065392
matériel d'irrigation,"matériel divers, produit insecticide",0.6933333333333334,0.8813559322033899,1.0328389830508475
"matériel d'irrigation, produit insecticide",produit engrai,0.6933333333333334,0.896551724137931,1.0344827586206897
"matériel d'irrigation, produit engrai",produit insecticide,0.6933333333333334,1.0,1.0273972602739725
matériel d'irrigation,"produit insecticide, produit engrai",0.6933333333333334,0.8813559322033899,1.0328389830508475
"matériel d'irrigation, produit insecticide, matériel divers",produit engrai,0.6266666666666667,0.9038461538461539,1.0428994082840237
"matériel d'irrigation, produit insecticide, produit engrai",matériel divers,0.6266666666666667,0.9038461538461539,1.027097902097902
"matériel d'irrigation, matériel divers, produit engrai",produit insecticide,0.6266666666666667,1.0,1.0273972602739725
"matériel d'irrigation, produit insecticide","matériel divers, produit engrai",0.6266666666666667,0.810344827586207,1.0478596908442332
"matériel d'irrigation, matériel divers","produit insecticide, produit engrai",0.6266666666666667,0.8867924528301887,1.0392099056603774
"matériel d'irrigation, produit engrai","matériel divers, produit insecticide",0.6266666666666667,0.9038461538461539,1.0591947115384615
matériel d'irrigation,matériel divers,0.6455696202531646,0.9272727272727272,1.0174242424242423
matériel d'irrigation,produit insecticide,0.6962025316455697,1.0,1.0128205128205128
"matériel d'irrigation, produit raticide + anti insect",produit insecticide,0.6962025316455697,1.0,1.0128205128205128
matériel apiculture,matériel divers,0.6753246753246753,0.8965517241379309,0.9862068965517241
"matériel divers, matériel apiculture",produit engrai,0.6753246753246753,1.0,1.0
"matériel apiculture, produit engrai",matériel divers,0.6753246753246753,0.8965517241379309,0.9862068965517241
"matériel divers, matériel apiculture",produit insecticide,0.6753246753246753,1.0,1.0
"produit insecticide, matériel apiculture",matériel divers,0.6753246753246753,0.8965517241379309,0.9862068965517241
matériel apiculture,"matériel divers, produit insecticide",0.6753246753246753,0.8965517241379309,0.9862068965517241
"matériel divers, produit insecticide, matériel apiculture",produit engrai,0.6753246753246753,1.0,1.0
"matériel divers, matériel apiculture, produit engrai",produit insecticide,0.6753246753246753,1.0,1.0
"produit insecticide, matériel apiculture, produit engrai",matériel divers,0.6753246753246753,0.8965517241379309,0.9862068965517241
"matériel divers, matériel apiculture","produit insecticide, produit engrai",0.6753246753246753,1.0,1.0
"matériel apiculture, produit engrai","matériel divers, produit insecticide",0.6753246753246753,0.8965517241379309,0.9862068965517241
matériel apiculture,produit engrai,0.6666666666666666,0.9696969696969697,1.0118577075098814
matériel apiculture,produit insecticide,0.6875,1.0,1.0
"produit insecticide, matériel apiculture",produit engrai,0.6666666666666666,0.9696969696969697,1.0118577075098814
"matériel apiculture, produit engrai",produit insecticide,0.6666666666666666,1.0,1.0
matériel apiculture,"produit insecticide, produit engrai",0.6666666666666666,0.9696969696969697,1.0118577075098814
